Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevClose
2026-01-05 09:00:00+08:00,1485.0,1485.0,1465.0,1480.0,0,0.0,0.0,1445.0
2026-01-05 09:01:00+08:00,1485.0,1485.0,1470.0,1470.0,307000,0.0,0.0,1445.0
2026-01-05 09:02:00+08:00,1470.0,1470.0,1465.0,1465.0,107000,0.0,0.0,1445.0
2026-01-05 09:03:00+08:00,1470.0,1480.0,1465.0,1475.0,96000,0.0,0.0,1445.0
2026-01-05 09:04:00+08:00,1475.0,1475.0,1470.0,1475.0,48000,0.0,0.0,1445.0
2026-01-05 09:05:00+08:00,1475.0,1480.0,1470.0,1470.0,144000,0.0,0.0,1445.0
2026-01-05 09:06:00+08:00,1470.0,1470.0,1465.0,1470.0,48000,0.0,0.0,1445.0
2026-01-05 09:07:00+08:00,1470.0,1475.0,1465.0,1475.0,40000,0.0,0.0,1445.0
2026-01-05 09:08:00+08:00,1475.0,1475.0,1470.0,1475.0,85000,0.0,0.0,1445.0
2026-01-05 09:09:00+08:00,1475.0,1475.0,1470.0,1470.0,77000,0.0,0.0,1445.0
2026-01-05 09:10:00+08:00,1470.0,1470.0,1465.0,1465.0,132216,0.0,0.0,1445.0
2026-01-05 09:11:00+08:00,1465.0,1470.0,1460.0,1465.0,56621,0.0,0.0,1445.0
2026-01-05 09:12:00+08:00,1465.0,1465.0,1455.0,1460.0,110010,0.0,0.0,1445.0
2026-01-05 09:13:00+08:00,1455.0,1470.0,1455.0,1470.0,87403,0.0,0.0,1445.0
2026-01-05 09:14:00+08:00,1465.0,1475.0,1465.0,1470.0,77419,0.0,0.0,1445.0
2026-01-05 09:15:00+08:00,1470.0,1470.0,1460.0,1465.0,82914,0.0,0.0,1445.0
2026-01-05 09:16:00+08:00,1465.0,1465.0,1465.0,1465.0,34239,0.0,0.0,1445.0
2026-01-05 09:17:00+08:00,1465.0,1465.0,1460.0,1460.0,58487,0.0,0.0,1445.0
2026-01-05 09:18:00+08:00,1460.0,1460.0,1460.0,1460.0,9301,0.0,0.0,1445.0
2026-01-05 09:19:00+08:00,1455.0,1460.0,1455.0,1460.0,23638,0.0,0.0,1445.0
2026-01-05 09:20:00+08:00,1460.0,1460.0,1455.0,1460.0,19312,0.0,0.0,1445.0
2026-01-05 09:21:00+08:00,1460.0,1460.0,1450.0,1455.0,107170,0.0,0.0,1445.0
2026-01-05 09:22:00+08:00,1455.0,1455.0,1450.0,1450.0,32781,0.0,0.0,1445.0
2026-01-05 09:23:00+08:00,1450.0,1455.0,1450.0,1455.0,43599,0.0,0.0,1445.0
2026-01-05 09:24:00+08:00,1455.0,1460.0,1455.0,1455.0,32382,0.0,0.0,1445.0
2026-01-05 09:25:00+08:00,1455.0,1460.0,1455.0,1460.0,52154,0.0,0.0,1445.0
2026-01-05 09:26:00+08:00,1460.0,1465.0,1460.0,1460.0,7644,0.0,0.0,1445.0
2026-01-05 09:27:00+08:00,1460.0,1460.0,1460.0,1460.0,26503,0.0,0.0,1445.0
2026-01-05 09:28:00+08:00,1460.0,1465.0,1460.0,1465.0,5303,0.0,0.0,1445.0
2026-01-05 09:29:00+08:00,1460.0,1470.0,1460.0,1470.0,51140,0.0,0.0,1445.0
2026-01-05 09:30:00+08:00,1470.0,1475.0,1470.0,1470.0,85710,0.0,0.0,1445.0
2026-01-05 09:31:00+08:00,1475.0,1480.0,1470.0,1480.0,145022,0.0,0.0,1445.0
2026-01-05 09:32:00+08:00,1480.0,1480.0,1475.0,1480.0,63858,0.0,0.0,1445.0
2026-01-05 09:33:00+08:00,1480.0,1485.0,1475.0,1485.0,159784,0.0,0.0,1445.0
2026-01-05 09:34:00+08:00,1485.0,1485.0,1480.0,1480.0,63095,0.0,0.0,1445.0
2026-01-05 09:35:00+08:00,1480.0,1490.0,1480.0,1490.0,278981,0.0,0.0,1445.0
2026-01-05 09:36:00+08:00,1490.0,1495.0,1490.0,1495.0,128123,0.0,0.0,1445.0
2026-01-05 09:37:00+08:00,1495.0,1500.0,1495.0,1500.0,95371,0.0,0.0,1445.0
2026-01-05 09:38:00+08:00,1500.0,1505.0,1495.0,1500.0,283180,0.0,0.0,1445.0
2026-01-05 09:39:00+08:00,1500.0,1500.0,1495.0,1495.0,62304,0.0,0.0,1445.0
2026-01-05 09:40:00+08:00,1495.0,1495.0,1485.0,1485.0,49929,0.0,0.0,1445.0
